variant_id,variant_label,listing_id,inventory_key,stock_quantity,stock_quantity_source,stock_quantity_kind,stock_observed_at,max_sale_limit,seller_count,seller_count_observed,seller_count_kind,sellers,variants,favorite_count,inventory_decrease,sales_estimate_daily,sales_estimate_weekly,sales_estimate_monthly,sales_estimate_status,sales_estimate_hours,sales_estimate_source,date,captured_at,query,sort,source_segment,source_query,segment_position,source_page,search_position,bestseller_rank,category_rank,rank_scope,rank_scope_position,rank_delta,trend_score,niche_score,product_id,merchant_id,offer_key,title,brand,category,url,seller_name,seller_score,price,original_price,discount_percent,price_delta_percent,currency,campaigns,stock_status,stock_signal,sales_signal,sales_signal_days,sales_signal_min,sales_signal_daily_min,rating,rating_count,review_count,review_delta,question_count,basket_signal,favorite_signal,view_signal,shipping_cost,shipping_currency,handling_days_min,handling_days_max,transit_days_min,transit_days_max,delivery_summary,badge,image_url,properties,sample_review_count,sample_review_avg,detail_status,detail_selection,detail_attempted,detail_refreshed_at,detail_age_days,data_sources,field_availability,detail_ok,detail_error
1534139382,,0e4c7253bf7a6d7ad869bbe08923fd33,1104782196:180667:1534139382:0e4c7253bf7a6d7ad869bbe08923fd33,905,merchantListing.winnerVariant.quantity,reported,2026-09-09T07:07:13.886Z,50,1,1,reported_total,"[{""merchant_id"":""180667"",""name"":""Nandy Home"",""score"":9.1,""price"":192.44,""variant_id"":""1534139382"",""listing_id"":""0e4c7253bf7a6d7ad869bbe08923fd33"",""stock_quantity"":905}]","[{""variant_id"":""1534139382"",""label"":null,""in_stock"":true,""stock_quantity"":905,""selected"":true}]",20012,,,,,observation_gap,,inventory_net_decrease,2026-09-09,2026-09-09T10:00:23+03:00,ev-yasam,BEST_SELLER,birlesik-ev-yasam,Trendyol seçili Ev & Yaşam kategorileri / En Çok Satan,1,2,1,1,,ev-yasam:birlesik-ev-yasam,1,55,108,57.4,1104782196,180667,1104782196:180667,Nandy Home 30 Adet Slim Elbise Askısı - Esnek ve Dayanıklı Kıyafet Askısı,Nandy Home,Askı,https://www.trendyol.com/nandy-home/30-adet-slim-elbise-askisi-esnek-ve-dayanikli-kiyafet-askisi-p-1104782196?boutiqueId=61&merchantId=180667,Nandy Home,9.1,192.44,199.9,3.7,-3.7,TRY,"[""Son 10 Günün En Düşük Fiyatı"",""Kargo Bedava"",""Son 10 günün en düşük fiyatı""]",InStock,,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.204878048780488,410,175,8,16,3B kişinin sepetinde,20B kişi favoriledi,"Son 24 saatte 2,1B kişi görüntüledi",4999,TRY,0,1,1,4,13 saat 52 dakika içinde sipariş verirsen en geç yarın kargoda!,En Çok Ziyaret Edilen 5. Ürün,https://cdn.dsmcdn.com/ty1824/prod/QC_PREP/20260216/11/94e7440c-a5d4-3b40-b55e-191f913fd503/1_org_zoom.jpg,"{""Materyal"":""Plastik"",""Parça Sayısı"":""30"",""Renk"":""Siyah"",""Kullanım Türü"":""Elbise"",""Menşei"":""TR""}",20,5,refreshed,"[""daily_top""]",true,2026-09-09T07:07:13.886Z,0,"[""search_result_dom"",""product_detail_jsonld"",""product_detail_dom""]","{""variant_id"":""observed"",""variant_label"":""unavailable"",""listing_id"":""observed"",""inventory_key"":""observed"",""stock_quantity"":""observed"",""stock_quantity_source"":""observed"",""stock_quantity_kind"":""observed"",""stock_observed_at"":""observed"",""max_sale_limit"":""observed"",""seller_count"":""observed"",""seller_count_observed"":""observed"",""seller_count_kind"":""observed"",""sellers"":""observed"",""variants"":""observed"",""favorite_count"":""observed"",""inventory_decrease"":""unavailable"",""sales_estimate_daily"":""unavailable"",""sales_estimate_weekly"":""unavailable"",""sales_estimate_monthly"":""unavailable"",""sales_estimate_status"":""unavailable"",""sales_estimate_hours"":""unavailable"",""sales_estimate_source"":""unavailable"",""title"":""observed"",""brand"":""observed"",""seller_name"":""observed"",""seller_score"":""observed"",""price"":""observed"",""original_price"":""observed"",""campaigns"":""observed"",""stock_status"":""observed"",""stock_signal"":""unavailable"",""rating"":""observed"",""rating_count"":""observed"",""review_count"":""observed"",""question_count"":""observed"",""delivery_summary"":""observed"",""shipping_cost"":""observed"",""properties"":""observed""}",true,
1125912528,,87300618d710b2e6c719d06dde481bd6,838154806:119640:1125912528:87300618d710b2e6c719d06dde481bd6,1279,merchantListing.winnerVariant.quantity,reported,2026-09-09T07:07:13.864Z,10,2,2,reported_total,"[{""merchant_id"":""119640"",""name"":""MeleniHome"",""score"":8.7,""price"":559.9,""variant_id"":""1125912528"",""listing_id"":""87300618d710b2e6c719d06dde481bd6"",""stock_quantity"":1279},{""merchant_id"":""346210"",""name"":""Meleni Home"",""score"":8.1,""price"":899.9,""variant_id"":""1125912528"",""listing_id"":""e85af191a0a3d2386a9b87d996d2258f"",""stock_quantity"":260}]","[{""variant_id"":""1125912528"",""label"":null,""in_stock"":true,""stock_quantity"":1279,""selected"":true}]",53138,,,,,observation_gap,,inventory_net_decrease,2026-09-09,2026-09-09T10:00:23+03:00,ev-yasam,BEST_SELLER,birlesik-ev-yasam,Trendyol seçili Ev & Yaşam kategorileri / En Çok Satan,2,2,2,2,1,ev-yasam:birlesik-ev-yasam,2,25,108.3,50.9,838154806,119640,838154806:119640,Meleni Home 10'lu Tekli Ayarlanabilir Ayakkabı Rampası - Dolap İçi Ayakkabı Düzenleyici Organizer,Meleni Home,Ayakkabı Düzenleyici,https://www.trendyol.com/meleni-home/10-lu-tekli-ayarlanabilir-ayakkabi-rampasi-dolap-ici-ayakkabi-duzenleyici-organizer-p-838154806?boutiqueId=61&merchantId=119640,MeleniHome,8.7,559.9,,,86.7,TRY,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",InStock,,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.534440644846116,2047,976,9,70,"1,8B kişinin sepetinde","53,1B kişi favoriledi",Son 24 saatte 1B kişi görüntüledi,4999,TRY,0,2,1,6,Tahmini Teslim:,En Çok Satan 1. Ürün,https://cdn.dsmcdn.com/ty1465/product/media/images/prod/QC/20240806/12/54f76799-66cf-3008-9aae-f53d582f5c08/1_org_zoom.jpg,"{""Materyal"":""Plastik"",""Parça Sayısı"":""10"",""Renk"":""Siyah"",""Menşei"":""TR""}",20,5,refreshed,"[""daily_top""]",true,2026-09-09T07:07:13.865Z,0,"[""search_result_dom"",""product_detail_jsonld"",""product_detail_dom""]","{""variant_id"":""observed"",""variant_label"":""unavailable"",""listing_id"":""observed"",""inventory_key"":""observed"",""stock_quantity"":""observed"",""stock_quantity_source"":""observed"",""stock_quantity_kind"":""observed"",""stock_observed_at"":""observed"",""max_sale_limit"":""observed"",""seller_count"":""observed"",""seller_count_observed"":""observed"",""seller_count_kind"":""observed"",""sellers"":""observed"",""variants"":""observed"",""favorite_count"":""observed"",""inventory_decrease"":""unavailable"",""sales_estimate_daily"":""unavailable"",""sales_estimate_weekly"":""unavailable"",""sales_estimate_monthly"":""unavailable"",""sales_estimate_status"":""unavailable"",""sales_estimate_hours"":""unavailable"",""sales_estimate_source"":""unavailable"",""title"":""observed"",""brand"":""observed"",""seller_name"":""observed"",""seller_score"":""observed"",""price"":""observed"",""original_price"":""unavailable"",""campaigns"":""observed"",""stock_status"":""observed"",""stock_signal"":""unavailable"",""rating"":""observed"",""rating_count"":""observed"",""review_count"":""observed"",""question_count"":""observed"",""delivery_summary"":""observed"",""shipping_cost"":""observed"",""properties"":""observed""}",true,
1020711760,,c75f3e05a595efe52e418dfb50bdd7ef,772042373:638780:1020711760:c75f3e05a595efe52e418dfb50bdd7ef,5538,merchantListing.winnerVariant.quantity,reported,2026-09-09T07:07:13.829Z,6,2,2,reported_total,"[{""merchant_id"":""638780"",""name"":""BEYZANA"",""score"":9.1,""price"":459.99,""variant_id"":""1020711760"",""listing_id"":""c75f3e05a595efe52e418dfb50bdd7ef"",""stock_quantity"":5538},{""merchant_id"":""258984"",""name"":""AKDAĞ HOME"",""score"":8.6,""price"":499,""variant_id"":""1020711760"",""listing_id"":""0cd1ea927d2739b062c643df3f66fbf0"",""stock_quantity"":97}]","[{""variant_id"":""1020711760"",""label"":null,""in_stock"":true,""stock_quantity"":5538,""selected"":true}]",384673,,,,,observation_gap,,inventory_net_decrease,2026-09-09,2026-09-09T10:00:23+03:00,ev-yasam,BEST_SELLER,birlesik-ev-yasam,Trendyol seçili Ev & Yaşam kategorileri / En Çok Satan,3,2,3,3,1,ev-yasam:birlesik-ev-yasam,3,39,112.8,44.3,772042373,638780,772042373:638780,BEYZANA Bambu Kirli Çamaşır Sepeti Dikdörtgen -katlanabilir Bambu Kirli Çamaşır Sepeti,BEYZANA,Çamaşır Sepeti,https://www.trendyol.com/beyzana/bambu-kirli-camasir-sepeti-dikdortgen-katlanabilir-bambu-kirli-camasir-sepeti-p-772042373?boutiqueId=61&merchantId=638780,BEYZANA,9.1,459.99,,,0,TRY,"[""Kargo Bedava""]",InStock,,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.2388510374729025,12916,6468,10,994,"5,4B kişinin sepetinde","384,7B kişi favoriledi","Son 24 saatte 3,4B kişi görüntüledi",4999,TRY,0,1,1,4,52 dakika 46 saniye içinde sipariş verirsen en geç bugün kargoda!,En Çok Satan 1. Ürün,https://cdn.dsmcdn.com/ty1718/prod/QC_ENRICHMENT/20250727/12/5cfb3e4a-d940-3b10-8ae2-ec0dcce72a49/1_org_zoom.jpg,"{""Materyal"":""Bambu"",""Renk"":""Bej"",""Boyut/Ebat"":""35 x 50"",""Yıkama Talimatı"":""T101"",""Materyal Bileşeni"":""BAMBU"",""Menşei"":""CN""}",20,5,refreshed,"[""daily_top""]",true,2026-09-09T07:07:13.831Z,0,"[""search_result_dom"",""product_detail_jsonld"",""product_detail_dom""]","{""variant_id"":""observed"",""variant_label"":""unavailable"",""listing_id"":""observed"",""inventory_key"":""observed"",""stock_quantity"":""observed"",""stock_quantity_source"":""observed"",""stock_quantity_kind"":""observed"",""stock_observed_at"":""observed"",""max_sale_limit"":""observed"",""seller_count"":""observed"",""seller_count_observed"":""observed"",""seller_count_kind"":""observed"",""sellers"":""observed"",""variants"":""observed"",""favorite_count"":""observed"",""inventory_decrease"":""unavailable"",""sales_estimate_daily"":""unavailable"",""sales_estimate_weekly"":""unavailable"",""sales_estimate_monthly"":""unavailable"",""sales_estimate_status"":""unavailable"",""sales_estimate_hours"":""unavailable"",""sales_estimate_source"":""unavailable"",""title"":""observed"",""brand"":""observed"",""seller_name"":""observed"",""seller_score"":""observed"",""price"":""observed"",""original_price"":""unavailable"",""campaigns"":""observed"",""stock_status"":""observed"",""stock_signal"":""unavailable"",""rating"":""observed"",""rating_count"":""observed"",""review_count"":""observed"",""question_count"":""observed"",""delivery_summary"":""observed"",""shipping_cost"":""observed"",""properties"":""observed""}",true,
108728948,,47ef98961c5b7af4bc48066d5b34c2ed,62204500:165535:108728948:47ef98961c5b7af4bc48066d5b34c2ed,9401,merchantListing.winnerVariant.quantity,reported,2026-09-09T07:07:18.734Z,15,1,1,reported_total,"[{""merchant_id"":""165535"",""name"":""Effe Yapi Dekor"",""score"":8.5,""price"":1690,""variant_id"":""108728948"",""listing_id"":""47ef98961c5b7af4bc48066d5b34c2ed"",""stock_quantity"":9401}]","[{""variant_id"":""108728948"",""label"":null,""in_stock"":true,""stock_quantity"":9401,""selected"":true}]",785324,,,,,observation_gap,,inventory_net_decrease,2026-09-09,2026-09-09T10:00:23+03:00,ev-yasam,BEST_SELLER,birlesik-ev-yasam,Trendyol seçili Ev & Yaşam kategorileri / En Çok Satan,4,2,4,4,,ev-yasam:birlesik-ev-yasam,4,29,113.2,43.8,62204500,165535,62204500:165535,EFFE YAPI DEKOR Gold Metal Çerçeveli Oval Ayaklı Boy Aynası 180 x 70 Cm,EFFE YAPI DEKOR,Ayna,https://www.trendyol.com/effe-yapi-dekor/gold-metal-cerceveli-oval-ayakli-boy-aynasi-180-x-70-cm-p-62204500?boutiqueId=61&merchantId=165535,Effe Yapi Dekor,8.5,1690,,,0,TRY,"[""Kargo Bedava"",""250 TL Kupon"",""Peşin Fiyatına 3 Taksit"",""Trendyol Plus'a Özel""]",InStock,,Son 3 günde 500+ ürün satıldı!,3,500,166.7,4.761002091398567,22473,12897,18,1799,"10,2B kişinin sepetinde","785,3B kişi favoriledi","Son 24 saatte 6,6B kişi görüntüledi",4999,TRY,0,12,1,15,Tahmini Teslim:,En Çok Ziyaret Edilen 1. Ürün,https://cdn.dsmcdn.com/ty1346/product/media/images/prod/QC/20240603/10/318a96b3-737f-33ba-be18-0d19884a0c8e/1_org_zoom.jpg,"{""Materyal"":""Metal"",""Renk"":""Altın"",""Parça Sayısı"":""1 Parça"",""Şekil"":""Oval"",""Çeşit"":""Ayaklı Boy Aynası"",""Menşei"":""TR"",""Özellik"":""Ayaklı""}",20,5,refreshed,"[""daily_top""]",true,2026-09-09T07:07:18.735Z,0,"[""search_result_dom"",""product_detail_jsonld"",""product_detail_dom""]","{""variant_id"":""observed"",""variant_label"":""unavailable"",""listing_id"":""observed"",""inventory_key"":""observed"",""stock_quantity"":""observed"",""stock_quantity_source"":""observed"",""stock_quantity_kind"":""observed"",""stock_observed_at"":""observed"",""max_sale_limit"":""observed"",""seller_count"":""observed"",""seller_count_observed"":""observed"",""seller_count_kind"":""observed"",""sellers"":""observed"",""variants"":""observed"",""favorite_count"":""observed"",""inventory_decrease"":""unavailable"",""sales_estimate_daily"":""unavailable"",""sales_estimate_weekly"":""unavailable"",""sales_estimate_monthly"":""unavailable"",""sales_estimate_status"":""unavailable"",""sales_estimate_hours"":""unavailable"",""sales_estimate_source"":""unavailable"",""title"":""observed"",""brand"":""observed"",""seller_name"":""observed"",""seller_score"":""observed"",""price"":""observed"",""original_price"":""unavailable"",""campaigns"":""observed"",""stock_status"":""observed"",""stock_signal"":""unavailable"",""rating"":""observed"",""rating_count"":""observed"",""review_count"":""observed"",""question_count"":""observed"",""delivery_summary"":""observed"",""shipping_cost"":""observed"",""properties"":""observed""}",true,
